dm32          sin^2(theta23)  DeltaChi2 
0.0022826     0.565            0.488 
0.0022826     0.575            0.728 
0.0022826     0.585            1.042 
0.0022826     0.595            1.446 
0.0022826     0.605            1.955 
0.0022826     0.615            2.586 
0.0022826     0.625            3.356 
0.0022826     0.635            4.286 
0.0022826     0.645            5.392 
0.0022826     0.655            6.696 
0.0022826     0.665            8.215 
0.0022826     0.675            9.968 
0.0022826     0.685           11.975 
0.0022826     0.695           14.252 
0.0022826     0.705           16.817 
0.0022826     0.715           19.686 
0.0022826     0.725           22.872 
0.0022826     0.735           26.390 
0.0022826     0.745           30.252 
0.0023186     0.245           36.093 
0.0023186     0.255           31.783 
0.0023186     0.265           27.826 
0.0023186     0.275           24.214 
0.0023186     0.285           20.934 
0.0023186     0.295           17.973 
0.0023186     0.305           15.319 
0.0023186     0.315           12.955 
0.0023186     0.325           10.866 
0.0023186     0.335            9.033 
0.0023186     0.345            7.439 
0.0023186     0.355            6.066 
0.0023186     0.365            4.893 
0.0023186     0.375            3.902 
0.0023186     0.385            3.074 
0.0023186     0.395            2.391 
0.0023186     0.405            1.834 
0.0023186     0.415            1.386 
0.0023186     0.425            1.030 
0.0023186     0.435            0.753 
0.0023186     0.445            0.539 
0.0023186     0.455            0.377 
0.0023186     0.465            0.257 
0.0023186     0.475            0.170 
0.0023186     0.485            0.109 
0.0023186     0.495            0.070 
0.0023186     0.505            0.051 
0.0023186     0.515            0.050 
0.0023186     0.525            0.070 
0.0023186     0.535            0.115 
0.0023186     0.545            0.191 
0.0023186     0.555            0.305 
0.0023186     0.565            0.468 
0.0023186     0.575            0.691 
0.0023186     0.585            0.987 
0.0023186     0.595            1.372 
0.0023186     0.605            1.860 
0.0023186     0.615            2.469 
0.0023186     0.625            3.218 
0.0023186     0.635            4.125 
0.0023186     0.645            5.208 
0.0023186     0.655            6.488 
0.0023186     0.665            7.984 
0.0023186     0.675            9.714 
0.0023186     0.685           11.697 
0.0023186     0.695           13.952 
0.0023186     0.705           16.495 
0.0023186     0.715           19.342 
0.0023186     0.725           22.507 
0.0023186     0.735           26.006 
0.0023186     0.745           29.848 
0.0023546     0.245           36.111 
0.0023546     0.255           31.810 
0.0023546     0.265           27.864 
0.0023546     0.275           24.261 
